Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.38391329525147233,0.39071469779753853
100,18.338535502389767,16.71640410387593
200,30.940411809982,24.772877602115734
300,40.58858529772142,31.5317863783141
400,49.651135240982654,38.06736774515256
500,56.093198568468395,42.4273317449963
600,61.741321726845925,46.616942060706535
700,66.66272998942841,50.83422963022291
800,71.74170889441045,55.93890683188604
900,76.15939639445222,59.30240394534934
1000,80.63821390187476,63.734148528117146
1100,84.63455522608967,67.65213737406336
1200,89.57263408753458,71.74415410633289
1300,94.23985599033969,75.09325035093102
1400,98.44073403444392,79.2358203360652
1500,102.40722859877378,82.1732216525846
1600,106.68769616151283,85.46678587078779
1700,110.09104660099726,88.73804413609933
1800,114.47613454945815,92.35995731833958
1900,117.92126267420304,95.49591037735789
2000,121.82386306587227,98.90558618440507
2100,125.29648882660706,102.22303677079663
2200,128.69577993009756,105.97181329747484
2300,132.2595798371094,109.41531632084374
2400,136.19887153722362,112.49917998603192
2500,140.28158779564384,115.4665665968826
2600,143.79706378117012,118.88575208332888
2700,146.22293974961184,122.10430700135403
2800,148.98279487511257,125.21835019063644
2900,152.1666411217387,127.61786075211535
3000,155.8704425454959,129.82054216550836
3100,158.68787637134804,133.28896181212363
3200,161.30607959310595,136.03027963400348
3300,163.63113291747834,138.27570996402568
3400,165.9303803679947,141.5684190662836
3500,168.4610686472177,144.3989017638525
3600,171.24625074294,146.72103908793386
3700,174.03530927253044,149.07602836161865
3800,176.76576290908264,151.10307181998184
3900,179.66100188932253,153.59169591208877
4000,181.6954521189445,156.45503437655736
4100,184.42746881183177,158.91947171635414
4200,186.93860658276574,161.24811157567495
4300,189.45046302682448,163.829979571167
4400,191.76374162338584,166.0649475930369
4500,194.74978256461216,168.4520897496672
4600,197.19352502640083,170.6687324147606
4700,199.80305311385186,172.67992471410895
4800,202.305592857297,174.61268136716205
4900,204.90777905554847,176.91794592369178
5000,206.80279751468834,179.3242275850845
5100,208.9308997199984,181.50626772825754
5200,210.62689131610836,183.60132351342003
5300,212.69959788126502,185.9305851629844
5400,215.35968850954183,188.1126356806622
5500,217.9423329105794,190.15339992104563
5600,220.65699985172674,192.53373154597017
5700,222.10247859444425,194.81376125344119
5800,224.71586640190554,196.6829412025357
5900,227.17853839707178,198.73599631493514
6000,228.83248649711336,200.7404526965229
6100,231.32016871588607,203.50499469906342
6200,233.18658279355955,205.51570260394382
6300,235.42217830329082,207.68857640080986
6400,237.84679424373977,209.3819881908327
6500,239.70374762635856,212.01420654183667
6600,241.56829442439198,213.4919761329194
6700,243.76436132370569,215.811365787988
6800,246.1364211418727,217.27113131808628
6900,248.7797747618922,219.58409090961996
7000,251.39312164822132,221.80084553448054
7100,253.31357967398517,223.98354513261316
7200,255.13617293698138,225.9505725856522
7300,257.1876766265597,227.86252688418094
7400,259.67461777131905,230.21870721597867
7500,262.1195434350362,232.35111756037549
7600,264.41984387150103,233.9320532684149
7700,265.8056830531677,236.0243668136684
7800,268.4508286020513,237.91306878709048
7900,270.4100695120304,239.41064109297707
8000,272.4647317330122,241.13041706142272
8100,274.908327433267,243.39260256404282
8200,277.40325230043993,245.4215344970779
8300,279.4767731639125,247.6178271577347
8400,281.52753094923145,249.510475484592
8500,283.57913031624616,251.3640777136658
8600,285.75287890841093,252.87765970467063
8700,287.77255664683804,255.07106138061695
8800,289.75546123532246,257.2460498237989
8900,291.9259980485224,259.326203617218
9000,293.1869643152405,260.72960532778734
9100,295.6009068064842,262.6230952197009
9200,297.3035205320158,264.81342151139745
9300,298.95490450860245,266.724831557469
9400,300.5891969543171,268.4915300326163
9500,302.48588715688777,270.65986997393543
9600,304.4264065536297,272.41929005032705
9700,306.6949421529144,274.61937045666144
9800,308.5090264114606,276.3931891391378
9900,310.18899729036036,278.4247331274238
10000,311.5426858959528,280.53135003431623
10100,313.33989213263794,282.4505168019678
10200,315.2455595887578,284.1128924930881
10300,317.25131567942145,285.9940530019096
10400,319.4124833853884,287.80855003559645
10500,321.1348426846819,289.875452726072
10600,322.78352161293594,291.6216002325333
10700,324.83483827207135,293.2119944357485
10800,327.1649396397492,294.7107907588403
10900,329.3323938974059,296.33985258179564
11000,331.31194746846717,297.9139624418492
11100,333.0974596094594,299.69655316186277
11200,335.26177888115257,301.3315000739485
11300,336.84475009684786,302.5457911502456
11400,338.5417218430218,304.5101217357137
