Time(Iteration),EpsilonGreedyMultiArmedBandit
0,0.39538218395585273
100,19.9489492030138
200,32.83038008698919
300,44.38475226243379
400,53.98378736738381
500,61.09455147168374
600,66.68502638466734
700,71.4986533569873
800,75.8156510549152
900,80.84037335587007
1000,85.41972108496581
1100,89.61408594233563
1200,94.01543550554587
1300,98.24188316314047
1400,102.43402197210824
1500,107.23640588619347
1600,111.340054148809
1700,115.47362029702438
1800,119.44252758670946
1900,124.06329672380707
2000,128.0403518712524
2100,132.16672021189203
2200,136.06875491181313
2300,139.98482428425692
2400,144.3696961841283
2500,148.0253392102452
2600,151.6854405165504
2700,155.48331865816485
2800,159.34053603091942
2900,163.47821758269885
3000,167.71201050340323
3100,171.17801878877646
3200,174.6395374535184
3300,178.44275738242087
3400,182.51059939176426
3500,186.55269174715417
3600,190.90825615306503
3700,194.06517068424708
3800,198.35601529115885
3900,201.61734266284137
4000,205.55436682764093
4100,209.13135077060164
4200,213.28018888675064
4300,217.28033313432826
4400,221.04966222947647
4500,224.9472100614865
4600,229.0837412543629
4700,232.7909409616961
4800,236.48256704863837
4900,240.29328146118118
5000,244.03389530728322
5100,248.6887808961409
5200,252.13524857086105
5300,255.8071726641465
5400,260.1482470484251
5500,263.8018029963461
5600,267.3446685995374
5700,270.62131492829883
5800,274.1929953503445
5900,278.31057443978506
6000,282.61592359779746
6100,286.8536579083569
6200,290.1964923637589
6300,294.0591312563495
6400,298.80084577612087
6500,303.41525601086244
6600,307.10914650299026
6700,311.5758414379426
6800,315.13095319472086
6900,318.51969820534
7000,323.41440972406656
7100,328.2986561619674
7200,332.2189596571874
7300,336.17965254830267
7400,340.301566041239
7500,344.356603821093
7600,348.87489373169353
7700,352.87335979698935
7800,356.4793261859483
7900,360.95566626986374
8000,365.6451106750752
8100,369.5021880497894
8200,372.9454450515452
8300,376.6448331807011
8400,380.37948813713774
8500,384.0176184785165
8600,387.64613345721847
8700,392.09072106630686
8800,396.20009206438317
8900,400.0026581609512
9000,404.06057297651824
9100,408.3979961958567
9200,412.28371366546025
9300,415.6362875234951
9400,419.775828051179
9500,423.68941936118944
9600,427.68774763760973
9700,431.7518179792761
9800,435.343045070108
9900,438.48715772875977
10000,442.20423498434155
10100,447.07747699530864
10200,451.07552169730627
10300,455.00014362107413
10400,459.38017679909734
10500,463.38316582316037
10600,466.89210198487655
10700,470.79202455232826
10800,474.45043359953087
