Time(Iteration),GeneralizedLinearBandit
0,0.15224014882549047
100,16.07979173381792
200,31.950117884900358
300,47.64579623923315
400,63.14729015883364
500,78.65245766662972
600,94.13536933135978
700,109.482823787142
800,124.77545415252874
900,140.17216297751358
1000,155.5276733059007
1100,170.64370054829175
1200,185.54122196379268
1300,200.6773571193475
1400,215.59488271932923
1500,230.60603883264542
1600,245.37665667422948
1700,260.1255322489803
1800,274.77970239166586
1900,289.0887748068764
2000,303.79680585773315
2100,318.41068411127696
2200,332.955942194134
2300,347.2684059480362
2400,361.59383722058004
2500,376.024248759874
2600,390.10684764033647
2700,403.63350699277197
2800,417.9125474426114
2900,432.051325939901
3000,445.7325231954007
3100,459.61967381299036
3200,473.638415158605
3300,487.2161373003579
3400,501.17573758633154
3500,514.6684687897534
3600,528.5287425050049
3700,541.5150421707117
3800,554.9525512712637
3900,568.4067248805626
4000,581.3581714189479
4100,594.8328738065715
4200,607.96285471734
4300,621.2878027373686
4400,634.3289695262245
4500,647.3774751593903
4600,660.6827155056392
4700,673.7917011168522
4800,686.6252870976018
4900,699.6594518297459
5000,712.3087490113664
5100,724.8438455505897
5200,736.3994099971189
5300,748.339031367994
5400,760.5875392671086
5500,772.1946039370007
5600,784.8916466907731
5700,797.1536945357457
5800,809.4333399612713
5900,821.8743335719677
6000,833.7467286012694
6100,845.5031086116484
6200,856.7120430491957
6300,868.3948511439503
6400,880.0131026527267
6500,891.4295515372057
6600,902.6832736403628
6700,914.0005197154011
6800,925.1057449761968
6900,935.7933273916038
7000,946.326122819838
7100,957.0591865818376
7200,968.5927376193913
7300,979.7852095316226
7400,990.7208915870357
7500,1001.3942656972158
7600,1011.8816055317009
7700,1022.4285257716549
7800,1032.7695949420465
7900,1042.867798705417
8000,1053.5319284939594
8100,1063.9489688674237
8200,1074.9328926613844
8300,1085.137220513816
8400,1095.4946848130253
8500,1106.003096639523
8600,1116.608932514161
8700,1126.9501224810253
8800,1137.330387470017
8900,1147.5219615143853
9000,1156.3274081427126
9100,1166.2969873162199
9200,1176.0901155812185
9300,1185.8188565681237
9400,1195.573773827424
9500,1205.387016314996
9600,1215.123357425148
9700,1225.0500129334969
9800,1234.9953228882027
9900,1243.2381981260767
10000,1252.9814012824477
10100,1262.7357914659522
10200,1272.1903532870037
10300,1281.6624450046293
10400,1291.1039902731297
10500,1300.0814706204415
10600,1308.6981710379869
10700,1317.5862971508748
10800,1326.9920325583655
10900,1335.805324294152
11000,1344.5038834703569
11100,1354.075107194726
11200,1362.6664288328832
11300,1371.7256636457819
11400,1380.5991494058137
11500,1389.241919501857
11600,1398.0389229371708
11700,1406.5978876700763
11800,1415.4353696048347
11900,1423.9841220189921
12000,1432.8875724226832
12100,1441.7767857913097
12200,1451.2683504297327
12300,1459.455868236693
12400,1467.8548294717189
12500,1476.7491702196844
12600,1484.9939968979581
12700,1492.9310118832118
12800,1500.8005805728944
12900,1508.7622755673628
13000,1516.7659843782171
13100,1525.199197031435
13200,1533.833768937138
13300,1541.2681251371923
13400,1549.6696007328042
13500,1557.889194314686
13600,1564.8260085423676
13700,1572.4090470410326
13800,1580.0990476455527
13900,1588.6130401196003
14000,1596.4133723939444
14100,1603.9176832263697
14200,1611.8217608260134
14300,1619.3379260648076
14400,1627.553715993693
14500,1635.3467148722248
14600,1642.8863388422765
14700,1650.8560657237504
14800,1658.2923600193758
14900,1665.8853414743062
15000,1673.9429769039657
15100,1681.1849562363448
15200,1688.2556826631214
15300,1696.176429402196
15400,1703.9721618412773
15500,1711.4098325386178
15600,1719.2785031314725
15700,1726.9892947649641
15800,1734.8440277085251
15900,1742.028583637231
16000,1749.5476454181548
16100,1756.128025922076
16200,1763.6328101660215
16300,1771.3206962477732
16400,1778.3421650074076
16500,1785.1628120690705
16600,1793.1781702409967
16700,1799.6265897262842
16800,1806.2352834126311
16900,1813.7251937983394
17000,1820.734406661298
17100,1828.6014007638587
17200,1835.4739117484485
17300,1841.593299975567
17400,1848.5001974234522
17500,1855.704046290391
17600,1863.2239302262744
17700,1870.1885386395563
17800,1877.4027025704745
17900,1884.813843022488
18000,1891.8719056624595
18100,1898.9224822214255
18200,1905.5535662647264
18300,1912.2072786703388
18400,1919.7247895103021
18500,1926.183314783268
18600,1932.803966846101
18700,1939.2426293267304
18800,1945.7632181174715
18900,1952.9481577190327
19000,1959.1677571316964
19100,1965.8455074168774
19200,1972.4092380300767
19300,1978.9740193799073
19400,1985.9671277865248
19500,1992.6929679643665
19600,1999.4242618527255
19700,2006.5939203856628
19800,2013.1949365773648
19900,2020.9106742866911
20000,2026.1988283706062
20100,2033.2705310244278
20200,2040.2471440882905
20300,2046.3085820812205
20400,2051.687121593221
20500,2058.264412552891
20600,2064.3106135524877
20700,2070.6069500582353
20800,2077.3812623714553
20900,2084.27383996064
21000,2090.468967808336
21100,2096.2579167614867
21200,2102.431635247279
21300,2108.3101771218226
21400,2114.9157583726656
21500,2120.4713129625716
21600,2126.5039465149976
21700,2132.8517081436466
21800,2139.0268472725656
21900,2145.1467891732123
22000,2151.093617938438
22100,2156.5111177180047
22200,2162.1405467192776
22300,2169.153595019023
22400,2175.939342768944
22500,2181.3799078946986
22600,2187.3296502554012
22700,2192.563366021609
22800,2198.1258199948325
22900,2203.7107477346053
23000,2210.342984098147
23100,2216.0218630615836
23200,2222.0701374967525
23300,2227.9904774940524
23400,2234.2433419501767
23500,2240.170068330105
23600,2245.949051859594
23700,2251.803038397022
23800,2257.3940694665707
23900,2262.4130644770967
24000,2267.8843417310036
24100,2273.891671266052
24200,2280.273268550702
24300,2286.32494295125
24400,2292.0285119320733
24500,2297.469749398554
24600,2303.932901777717
24700,2309.7194508413763
24800,2314.8732356296787
24900,2320.714199642176
25000,2326.86666928555
25100,2332.5401645006605
25200,2338.466675533769
25300,2343.557359100774
25400,2348.8182337529875
25500,2353.637301234715
25600,2358.2536728496657
25700,2363.778906555949
25800,2369.175488622922
25900,2374.7193448084477
26000,2379.938995436894
26100,2385.1994768873437
26200,2390.581411192638
26300,2395.713814243279
26400,2401.270869256062
26500,2406.5560846981016
26600,2411.36741333369
26700,2416.16164021168
26800,2421.6339571812905
26900,2426.3583581178013
27000,2431.435623706758
27100,2436.6704051391416
27200,2441.993004396979
27300,2446.320767606225
27400,2450.9929402859716
27500,2455.933111784725
27600,2461.3035298507443
27700,2465.810509879071
27800,2471.1053630325996
27900,2475.8684453614705
28000,2481.234433193749
28100,2486.842029403399
28200,2491.922923924974
28300,2497.277802579108
28400,2502.272159057361
28500,2506.682092117936
28600,2511.5690791542083
28700,2515.9937232940556
28800,2520.6916968726036
28900,2525.816747243691
29000,2530.3783267413246
29100,2535.4490074161436
29200,2540.325956099026
29300,2545.0502935347063
29400,2549.3073067129103
29500,2554.1968033650182
29600,2558.8117000045595
29700,2563.490728242766
29800,2568.7122932604516
29900,2573.594185590098
30000,2578.5742177238058
30100,2582.667138811556
30200,2587.630542849513
30300,2592.60402331149
30400,2598.319053897958
30500,2602.623447029627
30600,2608.048198243251
30700,2612.7961167436692
30800,2617.736293148801
30900,2622.9554883278115
31000,2627.5624641429113
31100,2632.7182876340817
31200,2638.1807601906753
31300,2643.170745458919
31400,2648.1695456916514
31500,2652.010030181369
31600,2656.999906640583
31700,2661.5811244743522
31800,2666.761975537628
31900,2672.149123440724
32000,2676.512015166389
32100,2680.056887155683
32200,2684.4182249848013
32300,2688.530806655007
32400,2692.2825293867454
32500,2696.808563553563
32600,2700.891663428846
32700,2705.395416657911
32800,2710.663951064179
32900,2715.1157009269364
33000,2719.4936869465487
33100,2723.8220404231442
33200,2728.8913061593694
33300,2732.9390585967044
33400,2737.627464893379
33500,2742.396217907549
33600,2747.351299289424
33700,2751.902214171941
33800,2756.3276865208127
33900,2760.892527429422
34000,2765.8087729550925
34100,2769.747911018959
34200,2774.4019282053537
34300,2778.9530031313225
34400,2783.6382554684724
34500,2788.1113465240915
34600,2792.6171411736095
34700,2796.920401170335
34800,2800.948084278891
34900,2805.81129997614
35000,2810.345082922735
35100,2815.187535497518
35200,2819.538881703563
35300,2823.606933800879
35400,2827.850061429627
35500,2831.519977663914
35600,2836.1228672397287
35700,2840.6191557517427
35800,2845.469468180349
35900,2849.639259605952
36000,2854.348184189098
36100,2858.1513884477945
36200,2861.7301016840224
36300,2866.366040223225
36400,2870.696865698983
36500,2875.0900523936975
36600,2879.134036907457
36700,2883.400480178896
36800,2887.8050475810787
36900,2891.766097191359
37000,2895.8026300516694
37100,2899.075996600223
37200,2902.680531411804
37300,2907.7305480281657
37400,2911.722978464416
37500,2915.6159328925323
37600,2919.9890894303862
37700,2923.509755596834
37800,2927.6446105838354
37900,2931.6903091564
38000,2936.153974277463
38100,2940.3517383806557
38200,2945.0178710143077
38300,2948.188842883138
38400,2951.4634058707584
38500,2955.811556590824
38600,2960.281825077413
38700,2964.1499208842315
38800,2968.1283425625447
38900,2972.215739268676
39000,2976.3242856944207
39100,2980.5635922023876
39200,2984.676498657046
39300,2988.991230898567
39400,2993.097525064708
39500,2996.954626750303
39600,3000.786677667803
39700,3004.4503576643087
39800,3008.7070018958807
39900,3012.7406125097677
40000,3017.1801506491342
40100,3021.358840135696
40200,3025.1133507928644
40300,3029.3990861221737
40400,3033.0426679470715
40500,3036.023486167552
40600,3039.2190103335624
40700,3043.2238830740507
40800,3047.2901091646154
40900,3051.7320773653573
41000,3055.8837726988327
41100,3060.0656969452975
41200,3063.6205756546324
41300,3067.3708005049534
41400,3071.8449579798785
41500,3075.399427946509
41600,3079.3229690985822
41700,3083.249912333392
41800,3086.691777099634
41900,3090.9726503960596
42000,3095.461985036221
42100,3099.6250570952843
42200,3103.4677217510625
42300,3107.2683290994196
42400,3111.399021157365
42500,3115.4801518037666
42600,3119.0392044639975
42700,3122.8786671221455
42800,3126.5853680341015
42900,3130.814628462244
43000,3133.22550027332
43100,3136.33167223858
43200,3140.306367856981
43300,3143.949162076387
43400,3147.9442862091882
43500,3151.9289145986386
43600,3155.9463664303976
43700,3159.701562002693
43800,3163.5050556489305
43900,3167.6376422016415
44000,3170.947567960409
44100,3174.65230989515
44200,3177.760076174261
44300,3181.54446198013
44400,3184.9203464500742
44500,3187.87733870013
44600,3191.7201508461153
44700,3195.7149158205275
44800,3199.5797971162656
44900,3202.8893932513815
45000,3206.9350285387764
45100,3210.426685409189
45200,3213.9866375548104
45300,3217.9805887207854
45400,3221.421117592924
45500,3225.328045713758
45600,3228.7635333765406
45700,3232.0519931891254
45800,3235.4468159220064
45900,3238.7778511144406
46000,3242.4172294343816
46100,3245.341821403257
46200,3248.7738713410045
46300,3252.1597507538686
46400,3255.6911735453186
46500,3259.261729255716
46600,3262.861286762836
46700,3266.472489992502
46800,3269.4499361134767
46900,3272.0592787752385
47000,3274.816020254969
47100,3278.3445424033257
47200,3281.9320473095113
47300,3285.129907554503
47400,3288.9334837592883
47500,3292.726611707784
47600,3296.021701988334
47700,3299.135810619379
47800,3302.815343736422
47900,3306.217058427714
48000,3309.964054710455
48100,3312.221702964922
48200,3316.2412459506318
48300,3319.5870150408396
48400,3322.2642722181604
48500,3325.684964402616
48600,3328.802984169249
48700,3332.3202718913917
48800,3336.07711388693
48900,3339.449948268791
49000,3343.0948798850395
49100,3346.4775028948598
49200,3349.491198633131
49300,3353.0537365257137
49400,3356.885913634587
49500,3360.658482087768
49600,3363.595147148736
49700,3366.788320259597
49800,3370.381388424035
49900,3374.344695456256
50000,3377.8325571496453
50100,3381.0955690697992
50200,3384.3319318345216
50300,3387.3876988317434
50400,3390.2612067439186
50500,3393.4107290121524
50600,3396.1258002047643
50700,3399.6805451769424
50800,3403.291301622526
50900,3406.5125690741916
51000,3409.5442380506743
51100,3412.905427514881
51200,3416.5535681991814
51300,3419.7966487660874
51400,3423.4252801722714
51500,3426.7111118086314
51600,3430.269101738927
51700,3433.1561089872835
51800,3437.0310384837585
51900,3440.493537360785
52000,3443.4909585744294
52100,3446.4680737834096
52200,3449.658044195339
52300,3453.250262374222
