Time(Iteration),DiscountedUCBBandit
0,1.0
100,1.0
200,1.0
300,1.0
400,1.0
500,1.0
600,1.0
700,1.0
800,1.0
900,1.0
1000,1.0
1100,1.0
1200,1.0
1300,1.0
1400,1.0
1500,1.0
1600,1.0
1700,1.0
1800,1.0
1900,1.0
2000,1.0
2100,1.0
2200,1.0
2300,1.0
2400,1.0
2500,1.0
2600,1.0
2700,1.0
2800,1.0
2900,1.0
3000,1.0
3100,1.0
3200,1.0
3300,1.0
3400,1.0
3500,1.0
3600,1.0
3700,1.0
3800,1.0
3900,1.0
4000,1.0
4100,1.0
4200,1.0
4300,1.0
4400,1.0
4500,1.0
4600,1.0
4700,1.0
4800,1.0
4900,1.0
5000,2.0
5100,5.0
5200,5.0
5300,5.0
5400,5.0
5500,5.0
5600,5.0
5700,5.0
5800,5.0
5900,5.0
6000,5.0
6100,5.0
6200,5.0
6300,5.0
6400,5.0
6500,5.0
6600,5.0
6700,5.0
6800,5.0
6900,5.0
7000,5.0
7100,5.0
7200,5.0
7300,5.0
7400,5.0
7500,5.0
7600,5.0
7700,5.0
7800,5.0
7900,5.0
8000,5.0
8100,5.0
8200,5.0
8300,5.0
8400,5.0
8500,5.0
8600,5.0
8700,5.0
8800,5.0
8900,5.0
9000,5.0
9100,5.0
9200,5.0
9300,5.0
9400,5.0
9500,5.0
9600,5.0
9700,5.0
9800,5.0
9900,5.0
